,0
0,-0.03
1,-0.0294
2,-0.0288
3,-0.0282
4,-0.0276
5,-0.027
6,-0.0264
7,-0.0258
8,-0.0252
9,-0.0246
10,-0.024
11,-0.0234
12,-0.0228
13,-0.0222
14,-0.0216
15,-0.021
16,-0.0204
17,-0.0198
18,-0.019200000000000002
19,-0.018600000000000002
20,-0.018000000000000002
21,-0.017400000000000002
22,-0.016800000000000002
23,-0.016200000000000003
24,-0.015600000000000003
25,-0.015000000000000003
26,-0.014400000000000003
27,-0.013800000000000003
28,-0.013200000000000003
29,-0.012600000000000004
30,-0.012000000000000004
31,-0.011400000000000004
32,-0.010800000000000004
33,-0.010200000000000004
34,-0.009600000000000004
35,-0.009000000000000005
36,-0.008400000000000005
37,-0.007800000000000005
38,-0.007200000000000005
39,-0.006600000000000005
40,-0.006000000000000005
41,-0.0054000000000000055
42,-0.004800000000000006
43,-0.004200000000000006
44,-0.003600000000000006
45,-0.003000000000000006
46,-0.0024000000000000063
47,-0.0018000000000000065
48,-0.0012000000000000066
49,-0.0006000000000000067
50,1e-20
51,0.0006000000000000067
52,0.0012000000000000066
53,0.0018000000000000065
54,0.0024000000000000063
55,0.003000000000000006
56,0.003600000000000006
57,0.004200000000000006
58,0.004800000000000006
59,0.0054000000000000055
60,0.006000000000000005
61,0.006600000000000005
62,0.007200000000000005
63,0.007800000000000005
64,0.008400000000000005
65,0.009000000000000005
66,0.009600000000000004
67,0.010200000000000004
68,0.010800000000000004
69,0.011400000000000004
70,0.012000000000000004
71,0.012600000000000004
72,0.013200000000000003
73,0.013800000000000003
74,0.014400000000000003
75,0.015000000000000003
76,0.015600000000000003
77,0.016200000000000003
78,0.016800000000000002
79,0.017400000000000002
80,0.018000000000000002
81,0.018600000000000002
82,0.019200000000000002
83,0.0198
84,0.0204
85,0.021
86,0.0216
87,0.0222
88,0.0228
89,0.0234
90,0.024
91,0.0246
92,0.0252
93,0.0258
94,0.0264
95,0.027
96,0.0276
97,0.0282
98,0.0288
99,0.0294
100,0.03
