,0
0,-0.02
1,-0.0196
2,-0.0192
3,-0.018799999999999997
4,-0.018399999999999996
5,-0.017999999999999995
6,-0.017599999999999994
7,-0.017199999999999993
8,-0.016799999999999992
9,-0.01639999999999999
10,-0.01599999999999999
11,-0.01559999999999999
12,-0.015199999999999991
13,-0.014799999999999992
14,-0.014399999999999993
15,-0.013999999999999993
16,-0.013599999999999994
17,-0.013199999999999995
18,-0.012799999999999995
19,-0.012399999999999996
20,-0.011999999999999997
21,-0.011599999999999997
22,-0.011199999999999998
23,-0.010799999999999999
24,-0.0104
25,-0.01
26,-0.009600000000000001
27,-0.009200000000000002
28,-0.008800000000000002
29,-0.008400000000000003
30,-0.008000000000000004
31,-0.0076000000000000035
32,-0.007200000000000003
33,-0.006800000000000003
34,-0.006400000000000003
35,-0.006000000000000003
36,-0.0056000000000000025
37,-0.005200000000000002
38,-0.004800000000000002
39,-0.004400000000000002
40,-0.004000000000000002
41,-0.0036000000000000016
42,-0.0032000000000000015
43,-0.0028000000000000013
44,-0.002400000000000001
45,-0.002000000000000001
46,-0.001600000000000001
47,-0.001200000000000001
48,-0.000800000000000001
49,-0.000400000000000001
50,1e-20
51,0.000400000000000001
52,0.000800000000000001
53,0.001200000000000001
54,0.001600000000000001
55,0.002000000000000001
56,0.002400000000000001
57,0.0028000000000000013
58,0.0032000000000000015
59,0.0036000000000000016
60,0.004000000000000002
61,0.004400000000000002
62,0.004800000000000002
63,0.005200000000000002
64,0.0056000000000000025
65,0.006000000000000003
66,0.006400000000000003
67,0.006800000000000003
68,0.007200000000000003
69,0.0076000000000000035
70,0.008000000000000004
71,0.008400000000000003
72,0.008800000000000002
73,0.009200000000000002
74,0.009600000000000001
75,0.01
76,0.0104
77,0.010799999999999999
78,0.011199999999999998
79,0.011599999999999997
80,0.011999999999999997
81,0.012399999999999996
82,0.012799999999999995
83,0.013199999999999995
84,0.013599999999999994
85,0.013999999999999993
86,0.014399999999999993
87,0.014799999999999992
88,0.015199999999999991
89,0.01559999999999999
90,0.01599999999999999
91,0.01639999999999999
92,0.016799999999999992
93,0.017199999999999993
94,0.017599999999999994
95,0.017999999999999995
96,0.018399999999999996
97,0.018799999999999997
98,0.0192
99,0.0196
100,0.02
